codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
10432004,DGA,dga_web,Pelluco (U. Austral),25,-41.4911,-72.8958,104.0,Cuencas E Islas Entre R.Bueno Y R. Puelo,1043.0,Rio Chamiza,2002-09-02,2006-11-30,992,-
10523001,DGA,dga_web,Puelo,5,-41.6511,-72.3117,105.0,Rio Puelo,1052.0,R. Puelo Bajo,2014-01-01,2020-02-17,2074,2014-01-01
10610001,DGA,dga_web,Hornopiren,25,-41.9383,-72.435,106.0,Costeras Entre R.Puelo Y R.Yelcho,1061.0,Costeras Entre Pta Tentelhue Y Rio Negro (Incl.),2016-01-01,2020-03-31,1369,2016-01-01
10901002,DGA,dga_web,Castro 1 (Dga),50,-42.4581,-73.7744,109.0,Islas Chiloe Y Circundantes,1090.0,Isla Chiloe,1999-05-01,2007-10-29,1994,-
10901003,DGA,dga_web,Chonchi,30,-42.6228,-73.7728,109.0,Islas Chiloe Y Circundantes,1090.0,Isla Chiloe,2011-11-01,2013-07-31,559,-
10683002,DGA,dga_web,Rio Blanco En Chaiten,10,-42.9183,-72.7039,106.0,Costeras Entre R.Puelo Y R.Yelcho,1068.0,Costeras Entre R. Negro (Incl.) Y R. Yelcho,2014-01-01,2016-01-01,218,2014-01-01
11023002,DGA,dga_web,Villa Santa Lucia,327,-43.4128,-72.3658,110.0,Rio Palena Y Costeras Limite Decima Region,1102.0,Rio Palena Entre Frontera Y Rio Rosselot,2014-01-01,2020-03-31,1854,2014-01-01
11043001,DGA,dga_web,Marin Balmaceda,10,-43.7717,-72.9547,110.0,Rio Palena Y Costeras Limite Decima Region,1104.0,R. Palena Bajo,1993-08-01,1998-01-31,1478,-
11041001,DGA,dga_web,La Junta,45,-43.9708,-72.4056,110.0,Rio Palena Y Costeras Limite Decima Region,1104.0,R. Palena Bajo,2001-07-16,2018-05-31,4231,2014-01-01
11031001,DGA,dga_web,Lago Verde,350,-44.2394,-71.8461,110.0,Rio Palena Y Costeras Limite Decima Region,1103.0,Rio Rosselot,1999-02-09,2012-08-26,4101,-
11120001,DGA,dga_web,Puerto Puyuhuapi,10,-44.3228,-72.5597,111.0,Costeras E Islas Entre R.Palena Y R.Aisen,1112.0,Costeras Entre Rio Marchant Y Seno Ventisquero,1986-04-01,2020-03-31,9674,2019-05-01
11140001,DGA,dga_web,Rio Cisnes,740,-44.4975,-71.3064,111.0,Costeras E Islas Entre R.Palena Y R.Aisen,1114.0,Rio Cisnes,1987-01-01,2013-09-30,8470,-
11143003,DGA,dga_web,La Tapera,550,-44.6472,-71.6736,111.0,Costeras E Islas Entre R.Palena Y R.Aisen,1114.0,Rio Cisnes,1995-01-19,2003-05-31,1763,-
11147003,DGA,dga_web,Puerto Cisnes,10,-44.7278,-72.6814,111.0,Costeras E Islas Entre R.Palena Y R.Aisen,1114.0,Rio Cisnes,1986-04-01,2012-12-31,8123,-
11180000,DGA,dga_web,Islas Huichas,6,-45.1553,-73.5164,111.0,Costeras E Islas Entre R.Palena Y R.Aisen,1118.0,Islas Al Este Canal Moraleda,2013-08-01,2020-03-31,1819,2015-05-02
11304001,DGA,dga_web,Villa Maihuales,150,-45.1733,-72.1478,113.0,Rio Aisen,1130.0,Rio Maniguales,1986-05-01,2014-03-31,9503,-
11300001,DGA,dga_web,Estancia Bao Nuevo,700,-45.2669,-71.5292,113.0,Rio Aisen,1130.0,Rio Maniguales,2000-11-24,2016-12-30,5338,-
11302002,DGA,dga_web,Irehuao,535,-45.2706,-71.7092,113.0,Rio Aisen,1130.0,Rio Maniguales,1994-04-01,2014-09-30,5335,-
11307002,DGA,dga_web,Villa Ortega,550,-45.3719,-71.9822,113.0,Rio Aisen,1130.0,Rio Maniguales,1986-04-01,2011-12-31,7700,-
11342002,DGA,dga_web,Puerto Aysen,10,-45.4006,-72.7,113.0,Rio Aisen,1134.0,Rio Aisen Entre Rio Riesco Y Desembocadura,1993-04-01,2001-06-30,2829,-
11316004,DGA,dga_web,Coyhaique Alto,730,-45.4803,-71.6044,113.0,Rio Aisen,1131.0,Rio Simpson,1993-12-03,2020-03-31,8028,2015-05-02
11317005,DGA,dga_web,Coyhaique Conaf,340,-45.5511,-72.0589,113.0,Rio Aisen,1131.0,Rio Simpson,2002-05-01,2016-12-31,5054,-
11316003,DGA,dga_web,Coyhaique (Escuela Agricola),343,-45.5739,-72.0286,113.0,Rio Aisen,1131.0,Rio Simpson,1981-01-01,2020-03-31,12281,2013-03-27
11505001,DGA,dga_web,Rio Ibaez En Desembocadura,220,-46.2692,-71.9908,115.0,Rio Baker,1150.0,R. Ibanez,2006-01-01,2020-03-31,3514,2006-01-01
11511001,DGA,dga_web,Puerto Ibaez,215,-46.2892,-71.9336,115.0,Rio Baker,1151.0,Vertiente N.  Lago J. Miguel Carrera (Exc.  R. Iba$?Ez),1993-12-05,2009-04-14,4094,-
11513001,DGA,dga_web,Bahia Murta,240,-46.4619,-72.6686,115.0,Rio Baker,1151.0,Vertiente N.  Lago J. Miguel Carrera (Exc.  R. Iba$?Ez),1997-10-10,2013-08-29,5502,-
11521005,DGA,dga_web,Lago General Carrera Fachinal,18,-46.5425,-72.2267,115.0,Rio Baker,1152.0,Vertiente Sur Lago General Carrera,2015-12-01,2020-03-31,1532,2015-12-01
11521002,DGA,dga_web,Chile Chico,215,-46.5436,-71.7089,115.0,Rio Baker,1152.0,Vertiente Sur Lago Jose Miguel Carrera,1993-05-01,2016-12-31,6073,-
11440000,DGA,dga_web,Glaciar San Rafael,8,-46.6433,-73.8575,114.0,Costeras E Islas Entre R Aisen Y R Baker Y Canal Gral. Martinez,1144.0,Costera Y Ventisqueros Entre R.  Exploradores Y Vent. Benito,2011-01-01,2018-12-22,2179,2011-01-01
11523002,DGA,dga_web,Lago General Carrera En Puerto Guadal,205,-46.8411,-72.6975,115.0,Rio Baker,1152.0,Vertiente Sur Lago General Carrera,2019-05-01,2020-03-31,334,2019-05-01
11523001,DGA,dga_web,Puerto Guadal,210,-46.8428,-72.7008,115.0,Rio Baker,1152.0,Vertiente Sur Lago Jose Miguel Carrera,1993-12-09,2011-12-31,4452,-
11517002,DGA,dga_web,Lago General Carrera En Desage,210,-46.8456,-72.8033,115.0,Rio Baker,1151.0,Vertiente N.  Lago J. Miguel Carrera (Exc.  R. Iba$?Ez),2015-05-01,2020-03-31,337,2019-05-01
11532000,DGA,dga_web,Rio Nef Antes Junta Estero El Revalse,281,-47.1378,-73.0869,115.0,Rio Baker,1153.0,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2011-01-01,2020-03-31,2664,2011-01-01
11536004,DGA,dga_web,Rio Baker En Angostura Chacabuco,160,-47.1414,-72.7258,115.0,Rio Baker,1153.0,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2003-05-16,2020-03-31,4322,2005-09-01
11540000,DGA,dga_web,Lago Cachet 2 En Glaciar Colonia,427,-47.1981,-73.25,115.0,Rio Baker,1154.0,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2011-01-01,2020-03-31,2269,2011-01-01
11536003,DGA,dga_web,Aerodromo Cochrane,200,-47.2442,-72.5831,115.0,Rio Baker,1153.0,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,1997-10-01,1998-03-31,182,-
11536001,DGA,dga_web,Rio Cochrane En Cochrane,140,-47.2517,-72.5644,115.0,Rio Baker,1153.0,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2006-01-01,2016-01-01,1234,2006-01-01
11541000,DGA,dga_web,Rio Colonia En Nacimiento,146,-47.3392,-73.1147,115.0,Rio Baker,1154.0,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2015-05-01,2020-03-31,1786,2015-05-02
11546001,DGA,dga_web,Caleta Tortel,10,-47.7997,-73.5358,115.0,Rio Baker,1154.0,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2015-05-01,2020-03-31,1791,2015-05-02
11711000,DGA,dga_web,Rio Pascua Ante Junta Rio Quetru,20,-48.1592,-73.0889,117.0,Rio Pascua,1171.0,Rio Pascua,2003-02-08,2020-03-31,1857,2015-05-02
11700001,DGA,dga_web,Rio Mayer Reten,450,-48.2083,-72.3228,117.0,Rio Pascua,1170.0,Lago O'Higgins,1993-04-18,2004-08-31,3223,-
11800000,DGA,dga_web,Jorge Montt,170,-48.2536,-73.4597,118.0,Costeras Entre R. Pascua Limite Region. Archipielago Guayeco,1180.0,Costeras Entre Rio Pascua Y Limite Region,2017-06-01,2020-03-31,1013,2017-06-01
11701002,DGA,dga_web,Villa Ohiggins,270,-48.4692,-72.5589,117.0,Rio Pascua,1170.0,Lago O'Higgins,1993-10-01,2008-12-25,4654,-
11702000,DGA,dga_web,Lago Ohiggins En Villa Ohiggins,300,-48.5169,-72.5953,117.0,Rio Pascua,1170.0,Lago O'Higgins,2003-02-08,2020-03-31,1322,2005-01-22
12000000,DGA,dga_web,Glaciar Tempano,20,-48.8347,-74.1831,120.0,Costeras Entre Limite Region Y Seno Andrew,1200.0,Costeras Del Canal Mesier Entre Limite Region Y Peninsula Exmouth,2011-05-01,2020-03-22,2326,2012-01-01
