event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHI3958,15-Nov-19,2019,3,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,3,INDH (Chile),Other,"Around 15 November 2019 (month of), in the Araucania region, police forces of Chile forced a group of civilians to stay naked while under custody in the police station. Previous to the arrest, the victims had taken part in a demonstration against the government. Sources did not specify the gender of the victims.",0,,1647300321
CHI1980,12-Nov-19,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Women (Chile),7,17,Civilian targeting,152,South America,Chile,Maule,Talca,Talca,Talca,-35.4264,-71.6554,3,El Centro,Subnational,"As reported on 12 November 2019, in the Maule region, Police Forces of Chile forced a female civilian to get undressed and exercise under police custody.",0,,1652228929
CHI1806,09-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Valparaiso,Valparaiso,Vina del Mar,Vina del Mar,-33.0246,-71.5518,1,Biobio Chile,National,"On 9 November 2019 in Vina del Mar, Valparaiso region, a member of the police forces of Chile used a motorcycle to ran over a civilian after a protest registered in the city. In a video the civilian is walking in the pedestrians' way, when the officer changes the lane to purposely run over him. The victim is widely recognized in the city for wearing a dinosaur costume during the demonstrations. No information on fatalities or injuries was reported/shared by the source.",0,,1647300320
CHI1721,07-Nov-19,2019,2,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Mapuche Indigenous Group (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Cordillera,Puente Alto,Puente Alto,-33.6183,-70.5899,1,24 Horas (Chile),National,"As reported on 07 November 2019, in Puente Alto, Metropolitan region, Police Forces of Chile beat up and tortured two civilians arrested during a demonstration in the district. According to the report one of the victims, a member of the Mapuche community was hit on his genitals by the officers, while another one was locked up to 5 minutes in a room with irritating gases.",0,,1647300318
CHI1668,06-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Metropolitana,Cordillera,Puente Alto,Puente Alto,-33.6183,-70.5899,1,Biobio Chile,National,"On 6 November 2019, in Puente Alto, Metropolitan region a pedestrian reported being attacked by a group of police officers. The victim passed nearby a protest, after which a group of officers beat him up with their batons.",0,,1647300319
CHI3957,06-Nov-19,2019,1,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Men (Chile),7,17,Civilian targeting,152,South America,Chile,Maule,Talca,Talca,Talca,-35.4264,-71.6554,1,INDH (Chile),Other,"On 6 November 2019, in Talca, Maule region, police forces of Chile forced a group of three men to stay naked while under custody in the police station. Previous to the arrest, the victims had taken part in a demonstration against the government.",0,,1652228929
CHI1618,05-Nov-19,2019,1,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Men (Chile); Students (Chile); Women (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,Macul,Santiago - Macul,-33.4872,-70.5978,1,Biobio Chile,National,"On 5 November 2019, in Macul, Metropolitan region, a group of 5 students, 4 female and 1 male, reported sexual violence by members of the police forces of Chile. According to the victims, police officers arrested them during a protest. The group claims they were forced to show their genitals to police officers.",0,,1647300319
CHI1603,05-Nov-19,2019,2,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Students (Chile),7,17,Civilian targeting,152,South America,Chile,Antofagasta,Antofagasta,Antofagasta,Antofagasta,-23.6524,-70.3954,1,Mercurio Antofagasta,Subnational,"As reported on 05 November 2019, in Antofagasta, Antofagasta region, members of students' organizations reported that two students were beat up by members of the Police Forces of Chile while being in custudy in a local police station. Police denied these acusations.",0,,1647300323
CHI1590,04-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,24 Horas (Chile),National,"On 04 November 2019, in Santiago, Metropolitan region, Police Forces of Chile ran a police patrol car over a civilian. The victim was transferred to a local hospital.",0,,1647300318
CHI1586,04-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Chile (2018-2022),,1,Civilians (Chile),Police Forces of Chile (2018-2022); Women (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,Biobio Chile,National,"On 04 November 2019, in Santiago, Metropolitan region, a member of the Police Forces of Chile beat up another member of this institution while the last one was off dutty. Initial versions claimed the victim was dressed as civilian and on her way home, while passing near by a protest she was attacked and heavily beaten by her colleague. The victim had to be hospitalized due to the attack.",0,women targeted: government officials,1647300319
CHI3894,03-Nov-19,2019,1,Political violence,Violence against civilians,Attack,Private Security Forces (Chile),,8,Civilians (Chile),Mapuche Indigenous Group (Chile),7,78,Civilian targeting,152,South America,Chile,Coquimbo,Choapa,Salamanca,Salamanca,-31.7772,-70.9703,2,OLCA (Chile); El Dia (Chile),Other-National,"On 3 November 2019, in the rural area of Salamanca, Coquimbo region, a private guard from a mining company opened fire against a group of three Mapuche persons who were looking for missing animals. One of the victims, who was a Mapuche activist, died. Further investigations probed the guard opened fire against the victims from the back.",1,,1594075860
CHI1418,29-Oct-19,2019,1,Political violence,Violence against civilians,Attack,Indigenous Militia (Chile),,4,Civilians (Chile),,7,47,Civilian targeting,152,South America,Chile,Araucania,Malleco,Victoria,Victoria,-38.2341,-72.3439,1,El Austral Temuco,Subnational,"On 29 October 2019, in Pua, Victoria (Araucania), a group of at least 6 hooded, armed suspects intimidated civilians with fireshots in the air, carrying out an arson attack and setting a church on fire soon after. Neither injuries, fatalities, nor arrests were reported. The Araucania and Biobio regions constantly experience attacks from indigenous groups who demand land restitution from areas controlled by forestry companies.",0,,1634574974
CHI3956,27-Oct-19,2019,1,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),,7,17,Civilian targeting,152,South America,Chile,Maule,Talca,Talca,Talca,-35.4264,-71.6554,1,INDH (Chile),Other,"On 27 October 2019, in Talca, Maule region, police forces of Chile forced a group of civilians to stay naked while under custody in the police station. Previous to the arrest, the victims had taken part in a demonstration against the government. Sources did not specify the gender of the victims.",0,,1652228929
CHI1329,27-Oct-19,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Chile (2018-2022),,1,Civilians (Chile),LGBTQ+ (Chile),7,17,Civilian targeting,152,South America,Chile,Metropolitana,Santiago,,Santiago,-33.4569,-70.6483,1,AFP,International,"As reported on 27 October 2019, in Santiago, Metropolitan region, social organizations and LGBTI activists informed that members of the Polices Forces of Chile sexually assaulted two members of this community while in police custody. According to the report, one of the victims was at least 5 days under arrest.",0,,1679428446
